"time","hp1.Pelec","hp2.Pelec","hP_with_boiler.Pelec"
132,26.0677,26.5363,27.2158
132,26.0677,26.5363,27.2957
132.5,26.2211,26.0526,27.2957
133,26.3952,25.7439,27.2957
133,26.3952,25.7439,27.3759
133,26.3952,25.7439,27.4561
133.5,26.199,26.0263,27.4561
134,25.9861,26.3372,27.4561
134,25.9861,26.3372,27.4597
134,25.9861,26.3372,27.4597
134.5,25.7546,26.8015,27.4597
135,25.5224,27.2781,27.4597
135,25.5224,27.2781,27.5365
135,25.5224,27.2781,27.6171
135.5,25.5123,27.6835,27.6171
136,25.5123,28.0894,27.6171
136,25.5123,28.0894,27.6979
136,25.5123,28.0894,27.7787
136.5,25.642,28.4994,27.7787
137,25.7775,28.9135,27.7787
137,25.7775,28.9135,27.705
137,25.7775,28.9135,27.6243
137.5,25.7463,29.0122,27.6243
138,25.7076,29.0957,27.6243
138,25.7076,29.0957,27.6979
138,25.7076,29.0957,27.7787
138.5,25.9097,27.9958,27.7787
139,26.1226,26.8702,27.7787
139,26.1226,26.8702,27.7824
139,26.1226,26.8702,27.7824
139.5,26.4837,25.7025,27.7824
140,26.8515,24.5671,27.7824
140,26.8515,24.5671,27.7824
140,26.8515,24.5671,27.7824
140.5,26.9785,23.0525,27.7824
141,27.0946,21.5863,27.7824
141,27.0946,21.5863,27.5508
141,27.0946,21.5863,27.3098
141.5,27.3219,20.059,27.3098
142,27.5542,18.6021,27.3098
142,27.5542,18.6021,27.2228
142,27.5542,18.6021,27.1431
142.5,27.1937,17.275,27.1431
143,26.8066,16.0152,27.1431
143,26.8066,16.0152,25.9372
143,26.8066,16.0152,24.7195
143.5,33.9582,16.5802,24.7195
144,42.7895,17.215,24.7195
144,42.7895,17.215,25.3204
144,42.7895,17.215,26.0099
144.5,43.4603,17.52,26.0099
145,43.5437,17.8175,26.0099
145,43.5437,17.8175,25.2315
145,43.5437,17.8175,24.4064
145.5,43.7318,17.0269,24.4064
146,43.9266,16.2262,24.4064
146,43.9266,16.2262,23.5303
146,43.9266,16.2262,22.6733
146.5,43.9127,16.312,22.6733
147,43.8849,16.4251,22.6733
147,43.8849,16.4251,22.6408
147,43.8849,16.4251,22.6408
147.5,43.9092,14.5954,22.6408
148,43.937,12.8392,22.6408
148,43.937,12.8392,23.1178
148,43.937,12.8392,23.6209
148.5,43.6514,12.6168,23.6209
149,43.3452,12.4316,23.6209
149,43.3452,12.4316,23.5019
149,43.3452,12.4316,23.3578
149.5,43.2217,12.4634,23.3578
150,43.1104,12.5003,23.3578
150,43.1104,12.5003,24.1197
150,43.1104,12.5003,24.9365
150.5,42.999,12.7921,24.9365
151,42.8876,13.0936,24.9365
151,42.8876,13.0936,26.3652
151,42.8876,13.0936,27.8758
151.5,42.9591,13.3242,27.8758
152,43.0426,13.5551,27.8758
152,43.0426,13.5551,28.4133
152,43.0426,13.5551,28.9097
152.5,42.891,13.8643,28.9097
153,42.724,14.1792,28.9097
153,42.724,14.1792,29.8965
153,42.724,14.1792,30.9305
153.5,42.6091,14.7842,30.9305
154,42.4978,15.4113,30.9305
154,42.4978,15.4113,29.3454
