"time","hp1.COP","hp2.COP","hP_with_boiler.COP"
133,5.13338,5.19676,5.06776
133,5.13338,5.19676,5.06176
133.5,5.13338,5.17174,5.06176
134,5.13338,5.14694,5.06176
134,5.13338,5.14694,5.06176
134,5.13338,5.14694,5.06176
134.5,5.13338,5.11013,5.06176
135,5.13338,5.07378,5.06176
135,5.13338,5.07378,5.05578
135,5.13338,5.07378,5.0498
135.5,5.13338,5.04384,5.0498
136,5.13338,5.0142,5.0498
136,5.13338,5.0142,5.04384
136,5.13338,5.0142,5.03789
136.5,5.13338,4.98487,5.03789
137,5.13338,4.95584,5.03789
137,5.13338,4.95584,5.04384
137,5.13338,4.95584,5.0498
137.5,5.13338,4.95007,5.0498
138,5.13338,4.94431,5.0498
138,5.13338,4.94431,5.04384
138,5.13338,4.94431,5.03789
138.5,5.13338,5.02602,5.03789
139,5.13338,5.11013,5.03789
139,5.13338,5.11013,5.03789
139,5.13338,5.11013,5.03789
139.5,5.13338,5.20304,5.03789
140,5.13338,5.29903,5.03789
140,5.13338,5.29903,5.03789
140,5.13338,5.29903,5.03789
140.5,5.13338,5.43892,5.03789
141,5.13338,5.58571,5.03789
141,5.13338,5.58571,5.05578
141,5.13338,5.58571,5.07378
141.5,5.13338,5.7551,5.07378
142,5.13338,5.9343,5.07378
142,5.13338,5.9343,5.0798
142,5.13338,5.9343,5.08584
142.5,5.13338,6.11574,5.08584
143,5.13338,6.30785,5.08584
143,5.13338,6.30785,5.18422
143,5.13338,6.30785,5.28605
143.5,4.63762,6.2104,5.28605
144,4.2167,6.11574,5.28605
144,4.2167,6.11574,5.22833
144,4.2167,6.11574,5.17174
144.5,4.2167,6.0736,5.17174
145,4.2167,6.032,5.17174
145,4.2167,6.032,5.24106
145,4.2167,6.032,5.31207
145.5,4.2167,6.14984,5.31207
146,4.2167,6.27208,5.31207
146,4.2167,6.27208,5.39155
146,4.2167,6.27208,5.47322
146.5,4.2167,6.25434,5.47322
147,4.2167,6.2367,5.47322
147,4.2167,6.2367,5.47322
147,4.2167,6.2367,5.47322
147.5,4.2167,6.62793,5.47322
148,4.2167,7.06732,5.47322
148,4.2167,7.06732,5.42531
148,4.2167,7.06732,5.37816
148.5,4.2167,7.1232,5.37816
149,4.2167,7.17989,5.37816
149,4.2167,7.17989,5.39155
149,4.2167,7.17989,5.40501
149.5,4.2167,7.16849,5.40501
150,4.2167,7.15712,5.40501
150,4.2167,7.15712,5.33174
150,4.2167,7.15712,5.26026
150.5,4.2167,7.06732,5.26026
151,4.2167,6.97955,5.26026
151,4.2167,6.97955,5.14077
151,4.2167,6.97955,5.02602
151.5,4.2167,6.91503,5.02602
152,4.2167,6.8516,5.02602
152,4.2167,6.8516,4.99072
152,4.2167,6.8516,4.95584
152.5,4.2167,6.76867,4.95584
153,4.2167,6.68758,4.95584
153,4.2167,6.68758,4.88735
153,4.2167,6.68758,4.82047
153.5,4.2167,6.5403,4.82047
154,4.2167,6.39895,4.82047
154,4.2167,6.39895,4.93283
154,4.2167,6.39895,5.0498
154.5,4.2167,6.33492,5.0498
155,4.2167,6.27208,5.0498
155,4.2167,6.27208,4.57283
155,4.2167,6.27208,4.43033
155.5,4.2167,5.80856,7.61758
156,4.2167,5.40501,6.96129
156,4.2167,5.40501,6.96129
156,4.2167,5.40501,6.96129
156.5,4.2167,5.41176,6.93016
157,4.2167,5.41853,6.8993
157,4.2167,5.41853,6.8993
157,4.2167,5.41853,6.8993
157.5,4.2167,5.39827,6.82824
158,4.2167,5.37816,6.75851
158,4.2167,5.37816,6.75851
158,4.2167,5.37816,6.75851
158.5,4.2167,5.38485,6.76839
159,4.2167,5.39155,6.7783
159,4.2167,5.39155,6.7783
159,4.2167,5.39155,6.7783
159.5,4.2167,5.37816,6.76839
160,4.2167,5.36482,6.75851
160,4.2167,5.36482,6.75851
160,4.2167,5.36482,6.75851
160.5,4.2167,5.34493,6.86868
161,4.2167,5.32517,6.98218
161,4.2167,5.32517,6.98218
161,4.2167,5.32517,6.98218
161.5,4.2167,5.32517,7.02431
162,4.2167,5.32517,7.0669
162,4.2167,5.32517,7.0669
162,4.2167,5.32517,7.0669
162.5,4.2167,5.27313,7.10998
163,4.2167,5.22199,7.15353
163,4.2167,5.22199,7.15353
163,4.2167,5.22199,7.15353
163.5,4.2167,5.27958,7.12082
164,4.2167,5.33833,7.08838
164,4.2167,5.33833,7.08838
164,4.2167,5.33833,7.08838
164.5,4.2167,5.37816,7.15353
165,4.2167,5.41853,7.21979
