"time","hp2.Pelec"
183.75,41.1867
184,41.4549
184,41.4549
184,41.4549
184.25,41.4873
184.5,41.4873
184.75,41.4873
185,41.4873
185,41.4873
185,41.4873
185.25,41.5821
185.5,41.69
185.75,41.7982
186,41.9065
186,41.9065
186,41.9065
186.25,41.9673
186.5,42.0216
186.75,42.076
187,42.1304
187,42.1304
187,42.1304
187.25,41.946
187.5,41.7292
187.75,41.5133
188,41.2982
188,41.2982
188,41.2982
188.25,41.0368
188.5,40.7702
188.75,40.5048
189,40.2408
189,40.2408
189,40.2408
189.25,40.3958
189.5,40.6073
189.75,40.8196
190,41.0328
190,41.0328
190,41.0328
190.25,41.3411
190.5,41.664
190.75,41.9887
191,42.3152
191,42.3152
