"time","electrolyser_simple.electrochemical_simple.efficiency2","electrolyser_detailed1.electrochemical.efficiency2"
128,0.709674,0.707734
128,0.709674,0.707734
128.25,0.709674,0.707737
128.5,0.709674,0.707738
128.75,0.709674,0.707739
129,0.709674,0.70774
129,0.709674,0.70774
129,0.709674,0.70774
129.25,0.709725,0.707787
129.5,0.709777,0.707824
129.75,0.709828,0.707855
130,0.70988,0.70788
130,0.70988,0.70788
130,0.70988,0.70788
130.25,0.709898,0.707871
130.5,0.709915,0.707865
130.75,0.709932,0.707861
131,0.709949,0.707859
131,0.709949,0.707859
131,0.709949,0.707859
131.25,0.710223,0.708092
131.5,0.710499,0.70828
131.75,0.710775,0.708435
132,0.711052,0.708565
132,0.711052,0.708565
132,0.711052,0.708565
132.25,0.7109,0.708287
132.5,0.710744,0.70807
132.75,0.710589,0.707902
133,0.710433,0.707771
133,0.710433,0.707771
133,0.710433,0.707771
133.25,0.71062,0.707977
133.5,0.71081,0.708142
133.75,0.711,0.708275
134,0.711191,0.708383
134,0.711191,0.708383
134,0.711191,0.708383
134.25,0.711399,0.70849
134.5,0.711607,0.708582
134.75,0.711815,0.708663
135,0.712023,0.708736
135,0.712023,0.708736
135,0.712023,0.708736
135.25,0.712025,0.708612
135.5,0.712025,0.708518
135.75,0.712025,0.70845
136,0.712025,0.708399
136,0.712025,0.708399
136,0.712025,0.708399
136.25,0.711905,0.708252
136.5,0.711783,0.708135
136.75,0.711661,0.708041
137,0.71154,0.707966
137,0.71154,0.707966
137,0.71154,0.707966
137.25,0.711573,0.708046
137.5,0.711608,0.708108
137.75,0.711643,0.708156
138,0.711677,0.708192
138,0.711677,0.708192
138,0.711677,0.708192
138.25,0.711489,0.708016
138.5,0.711298,0.707873
138.75,0.711108,0.707758
139,0.710917,0.707663
139,0.710917,0.707663
139,0.710917,0.707663
139.25,0.71059,0.707458
139.5,0.710262,0.707289
139.75,0.709935,0.707148
140,0.709608,0.707029
140,0.709608,0.707029
140,0.709608,0.707029
140.25,0.709503,0.707124
140.5,0.7094,0.70719
140.75,0.709297,0.707232
141,0.709194,0.707257
141,0.709194,0.707257
141,0.709194,0.707257
141.25,0.708989,0.707177
141.5,0.708784,0.707107
141.75,0.708578,0.707046
142,0.708373,0.70699
142,0.708373,0.70699
142,0.708373,0.70699
142.25,0.70871,0.707425
142.5,0.709053,0.707764
142.75,0.709396,0.708031
143,0.70974,0.708246
143,0.70974,0.708246
143,0.70974,0.708246
143.25,0.708265,0.706785
143.5,0.706783,0.705647
143.75,0.705312,0.704773
144,0.70385,0.704098
144,0.70385,0.704098
144,0.70385,0.704098
144.25,0.703787,0.704771
144.5,0.703737,0.705253
144.75,0.703687,0.705591
145,0.703637,0.70583
145,0.703637,0.70583
145,0.703637,0.70583
145.25,0.70352,0.705938
145.5,0.703403,0.70601
145.75,0.703286,0.706056
146,0.703169,0.706083
146,0.703169,0.706083
146,0.703169,0.706083
146.25,0.703185,0.706209
146.5,0.703201,0.706302
146.75,0.703218,0.706368
147,0.703235,0.706417
147,0.703235,0.706417
147,0.703235,0.706417
147.25,0.703218,0.706424
147.5,0.703202,0.706428
147.75,0.703185,0.70643
148,0.703168,0.706431
148,0.703168,0.706431
148,0.703168,0.706431
148.25,0.70335,0.7066
148.5,0.703534,0.706733
148.75,0.703718,0.706837
149,0.703902,0.706921
149,0.703902,0.706921
149,0.703902,0.706921
149.25,0.70397,0.706893
149.5,0.704038,0.706874
149.75,0.704105,0.706864
150,0.704172,0.70686
150,0.704172,0.70686
150,0.704172,0.70686
150.25,0.704239,0.706862
150.5,0.704306,0.706866
150.75,0.704373,0.706872
151,0.70444,0.706881
151,0.70444,0.706881
151,0.70444,0.706881
151.25,0.704391,0.70679
151.5,0.704341,0.706721
151.75,0.70429,0.706668
152,0.70424,0.706629
152,0.70424,0.706629
152,0.70424,0.706629
152.25,0.704339,0.706726
152.5,0.70444,0.706803
152.75,0.704541,0.706863
153,0.704642,0.706912
153,0.704642,0.706912
153,0.704642,0.706912
153.25,0.704709,0.706923
153.5,0.704776,0.706935
153.75,0.704844,0.706947
154,0.704911,0.706959
154,0.704911,0.706959
154,0.704911,0.706959
154.25,0.704912,0.706914
154.5,0.704912,0.70688
154.75,0.704912,0.706856
155,0.704912,0.706839
155,0.704912,0.706839
155,0.704912,0.706839
155.25,0.704912,0.706827
155.5,0.704912,0.706818
155.75,0.704912,0.706811
156,0.704912,0.706807
156,0.704912,0.706807
156,0.704912,0.706807
156.25,0.704845,0.706746
156.5,0.704778,0.706698
156.75,0.70471,0.70666
157,0.704643,0.706629
157,0.704643,0.706629
157,0.704643,0.706629
157.25,0.704659,0.706676
157.5,0.704676,0.706711
157.75,0.704693,0.706737
158,0.704709,0.706756
158,0.704709,0.706756
158,0.704709,0.706756
158.25,0.70466,0.706714
158.5,0.704609,0.70668
158.75,0.704559,0.706653
159,0.704509,0.706631
159,0.704509,0.706631
159,0.704509,0.706631
159.25,0.704541,0.706685
159.5,0.704575,0.706726
159.75,0.704609,0.706757
160,0.704642,0.706781
160,0.704642,0.706781
160,0.704642,0.706781
160.25,0.704726,0.706843
160.5,0.70481,0.706893
160.75,0.704894,0.706933
161,0.704978,0.706966
161,0.704978,0.706966
161,0.704978,0.706966
161.25,0.705046,0.70698
161.5,0.705113,0.706994
161.75,0.70518,0.707007
162,0.705248,0.70702
162,0.705248,0.70702
162,0.705248,0.70702
162.25,0.705031,0.706787
162.5,0.704813,0.706606
162.75,0.704594,0.706465
163,0.704376,0.706353
163,0.704376,0.706353
163,0.704376,0.706353
163.25,0.70429,0.706377
163.5,0.704207,0.706391
163.75,0.704123,0.706396
164,0.704039,0.706396
164,0.704039,0.706396
164,0.704039,0.706396
164.25,0.704005,0.706435
164.5,0.703971,0.706461
164.75,0.703938,0.706479
165,0.703904,0.706489
165,0.703904,0.706489
165,0.703904,0.706489
165.25,0.703854,0.706481
165.5,0.703804,0.706472
165.75,0.703754,0.706463
166,0.703704,0.706455
166,0.703704,0.706455
166,0.703704,0.706455
166.25,0.703637,0.706431
166.5,0.70357,0.706411
166.75,0.703503,0.706394
167,0.703436,0.706378
167,0.703436,0.706378
167,0.703436,0.706378
167.25,0.703784,0.706718
167.5,0.704136,0.706984
167.75,0.704488,0.707193
168,0.704841,0.707364
168,0.704841,0.707364
168,0.704841,0.707364
168.25,0.704861,0.707219
168.5,0.704878,0.707112
168.75,0.704895,0.707036
169,0.704911,0.706982
169,0.704911,0.706982
169,0.704911,0.706982
169.25,0.704945,0.706959
169.5,0.704979,0.706944
169.75,0.705012,0.706935
170,0.705046,0.706929
170,0.705046,0.706929
170,0.705046,0.706929
170.25,0.705013,0.706871
170.5,0.704979,0.706825
