"time","hp2.COP"
122,5.06176
122.5,5.06176
123,5.06176
123,5.06176
123,5.06176
123.5,5.05578
124,5.0498
124,5.0498
124,5.0498
124.5,5.04384
125,5.03789
125,5.03789
125,5.03789
125.5,5.04384
126,5.0498
126,5.0498
126,5.0498
126.5,5.04384
127,5.03789
127,5.03789
127,5.03789
127.5,5.03789
128,5.03789
128,5.03789
128,5.03789
128.5,5.03789
129,5.03789
129,5.03789
129,5.03789
129.5,5.05578
130,5.07378
130,5.07378
130,5.07378
130.5,5.0798
131,5.08584
131,5.08584
131,5.08584
131.5,5.18422
132,5.28605
132,5.28605
132,5.28605
132.5,5.22833
133,5.17174
133,5.17174
133,5.17174
133.5,5.24106
134,5.31207
134,5.31207
134,5.31207
134.5,5.39155
135,5.47322
135,5.47322
135,5.47322
135.5,5.47322
136,5.47322
136,5.47322
136,5.47322
136.5,5.42531
137,5.37816
137,5.37816
137,5.37816
137.5,5.39155
138,5.40501
138,5.40501
138,5.40501
138.5,5.33174
139,5.26026
139,5.26026
139,5.26026
139.5,5.14077
140,5.02602
140,5.02602
140,5.02602
140.5,4.99072
141,4.95584
141,4.95584
141,4.95584
141.5,4.88735
142,4.82047
142,4.82047
142,4.82047
142.5,4.93283
143,5.0498
143,5.0498
143,5.0498
143.5,4.57283
144,4.16584
144,4.16584
144,4.16584
144.5,4.15284
145,4.1399
145,4.1399
145,4.1399
145.5,4.10997
146,4.08037
146,4.08037
146,4.08037
146.5,4.08458
147,4.0888
147,4.0888
147,4.0888
147.5,4.08458
148,4.08037
148,4.08037
148,4.08037
148.5,4.12703
149,4.17454
149,4.17454
149,4.17454
149.5,4.19202
150,4.20962
150,4.20962
150,4.20962
150.5,4.22734
151,4.24518
151,4.24518
151,4.24518
151.5,4.23179
152,4.21847
152,4.21847
152,4.21847
152.5,4.24518
153,4.27216
153,4.27216
153,4.27216
153.5,4.2903
154,4.30856
154,4.30856
154,4.30856
154.5,4.30856
155,4.30856
155,4.30856
155,4.30856
155.5,4.30856
156,4.30856
156,4.30856
156,4.30856
156.5,4.2903
157,4.27216
157,4.27216
157,4.27216
157.5,4.27668
158,4.28121
158,4.28121
158,4.28121
158.5,4.26765
159,4.25414
159,4.25414
159,4.25414
159.5,4.26314
160,4.27216
160,4.27216
160,4.27216
160.5,4.29485
161,4.31773
161,4.31773
161,4.31773
161.5,4.33618
162,4.35475
162,4.35475
162,4.35475
162.5,4.29485
163,4.23625
163,4.23625
163,4.23625
163.5,4.21404
164,4.19202
164,4.19202
164,4.19202
164.5,4.18326
165,4.17454
165,4.17454
165,4.17454
165.5,4.1615
166,4.14852
166,4.14852
166,4.14852
166.5,4.13132
167,4.11423
167,4.11423
167,4.11423
167.5,4.20521
168,4.29941
168,4.29941
168,4.29941
168.5,4.30398
169,4.30856
169,4.30856
169,4.30856
169.5,4.31773
170,4.32694
170,4.32694
170,4.32694
170.5,4.31773
171,4.30856
171,4.30856
171,4.30856
171.5,4.29485
172,4.28121
172,4.28121
172,4.28121
172.5,4.27216
173,4.26314
173,4.26314
173,4.26314
173.5,4.27216
174,4.28121
